Ref,Val,Package,PosX,PosY,Rot,Side
"","","",79.600000,-79.200000,90.000000,top
"","","",79.600000,-81.200000,90.000000,top
"C1","10u","C_0805_2012Metric",72.400000,-84.200000,0.000000,top
"C2","10u","C_0805_2012Metric",74.400000,-75.800000,-90.000000,top
"C3","10u","C_0805_2012Metric",53.000000,-79.600000,0.000000,top
"C4","100n","C_0402_1005Metric",53.800000,-99.800000,180.000000,top
"C5","100n","C_0402_1005Metric",53.200000,-81.400000,0.000000,top
"C6","100n","C_0402_1005Metric",53.800000,-97.400000,180.000000,top
"C7","100n","C_0402_1005Metric",53.800000,-98.600000,180.000000,top
"C8","100n","C_0402_1005Metric",53.200000,-82.600000,0.000000,top
"C9","10n","C_0402_1005Metric",49.200000,-92.480000,90.000000,top
"C10","1u","C_0402_1005Metric",48.000000,-92.480000,90.000000,top
"C11","1u","C_0402_1005Metric",51.400000,-98.600000,0.000000,top
"C12","100n","C_0402_1005Metric",51.400000,-84.200000,180.000000,top
"C13","100n","C_0402_1005Metric",62.400000,-95.800000,0.000000,top
"C14","100n","C_0402_1005Metric",64.600000,-86.800000,0.000000,top
"C15","10p","C_0402_1005Metric",48.400000,-86.200000,90.000000,top
"C16","10p","C_0402_1005Metric",48.000000,-88.200000,90.000000,top
"C17","0.1u","C_0402_1005Metric",53.800000,-101.000000,180.000000,top
"C18","2.2n","C_0402_1005Metric",63.400000,-102.400000,-90.000000,top
"C19","0.1u","C_0402_1005Metric",56.800000,-102.000000,-90.000000,top
"D1","BAT54C","SOT-23",68.600000,-84.800000,90.000000,top
"D2","GREEN","LED_0603_1608Metric",76.600000,-75.600000,90.000000,top
"FB1","120R","L_0603_1608Metric",49.800000,-97.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",83.045000,-88.200000,90.000000,top
"Q1","BC817W","SOT-323_SC-70",73.000000,-90.600000,180.000000,top
"R1","1k5","R_0402_1005Metric",75.600000,-78.200000,180.000000,top
"R2","10k","R_0402_1005Metric",47.400000,-75.800000,0.000000,top
"R3","22R","R_0402_1005Metric",77.910000,-87.800000,0.000000,top
"R4","22R","R_0402_1005Metric",78.000000,-89.200000,0.000000,top
"R5","10k","R_0402_1005Metric",59.000000,-79.600000,90.000000,top
"R6","10k","R_0402_1005Metric",57.200000,-79.510000,90.000000,top
"R7","10kR","R_0402_1005Metric",70.200000,-91.200000,-90.000000,top
"R8","4k7R","R_0402_1005Metric",76.000000,-91.400000,180.000000,top
"SW1","SW_SPDT","SW_DIP_SPSTx01_Slide_Copal_CVS-01xB_W5.9mm_P1mm",46.800000,-80.400000,90.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",69.200000,-78.000000,90.000000,top
"U2","MPU-6000","InvenSense_QFN-24_4x4mm_P0.5mm",60.000000,-101.200000,-90.000000,top
"U3","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",56.800000,-90.000000,0.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",45.600000,-87.000000,-90.000000,top
